message,label,processed_message
"Tee hee. Off to lecture, cheery bye bye.",ham,tee hee lectur cheeri bye bye
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",ham,sorri chikku cell got problem tht nt abl repli u msg u
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,still havent collect dough pl let know go place sent get control number
Ok...,ham,ok
network operator. The service is free. For T & C's visit 80488.biz,spam,network oper servic free cs visit biz
Let me know how to contact you. I've you settled in a room. Lets know you are ok.,ham,let know contact ive settl room let know ok
Wot u up 2 u weirdo?,ham,wot u u weirdo
Can do lor...,ham,lor
Dont put your phone on silent mode ok,ham,dont put phone silent mode ok
Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,ham,meet ü depend ü wan lor
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,ham,wait tv show start lor u leh still busi ur report
Oh ho. Is this the first time u use these type of words,ham,oh ho first time u use type word
Am I the only one who doesn't stalk profiles?,ham,one doesnt stalk profil
"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",ham,ever green quot ever told jerri cartoon person irrit u alway one love u vri much fail express gud nyt
Yes i thought so. Thanks.,ham,ye thought thank
But if she.s drinkin i'm ok.,ham,she drinkin im ok
"Just wondering, the others just took off",ham,wonder other took
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay gud mrng
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",ham,dog must alway wait till end day word run time cell alreadi
Happy new year to u too!,ham,happi new year u
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",ham,heygreat dealfarm tour pm pax deposit may
Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,ham,eat jap done oso aft ur lect wat ü got lect rite
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",ham,hey babe saw came onlin second disappear happen
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,ham,da birthdat certif april real date today dont publish shall give special treat keep secret way thank wish
Happy birthday... May all ur dreams come true...,ham,happi birthday may ur dream come true
Aiyah u did ok already lar. E nydc at wheellock?,ham,aiyah u ok alreadi lar e nydc wheellock
TELL HER I SAID EAT SHIT.,ham,tell said eat shit
Sure! I am driving but will reach my destination soon.,ham,sure drive reach destin soon
"K so am I, how much for an 8th? Fifty?",ham,k much th fifti
Your daily text from me – a favour this time,ham,daili text – favour time
Great to hear you are settling well. So what's happenin wit ola?,ham,great hear settl well what happenin wit ola
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,ham,cocksuck make feel better ipad worthless garbag novelti item feel bad even want one
I tot u reach liao. He said t-shirt.,ham,tot u reach liao said tshirt
"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",ham,fran decid go n e way im complet broke knacker got bout c u mrw love janx ps dad fone credit
I cant pick the phone right now. Pls send a message,ham,cant pick phone right pl send messag
Your right! I'll make the appointment right now.,ham,right ill make appoint right
Designation is software developer and may be she get chennai:),ham,design softwar develop may get chennai
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam,enjoy jamster videosound gold club credit new videosound logosmusicnew get fun jamstercouk help call
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam,get lion england tone repli lionm mono lionp poli go wwwringtonescouk origin n best tone gbp network oper rate appli
I jokin oni lar.. Ü busy then i wun disturb ü.,ham,jokin oni lar ü busi wun disturb ü
"Ok, be careful ! Don't text and drive !",ham,ok care dont text drive
"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",ham,ill alway even spirit ill get bb soon tri sure need
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,ham,u r much close heart u go away shatter plz stay
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,ham,love u babe r u sure everyth alrit idiot txt bak girli
How abt making some of the pics bigger?,ham,abt make pic bigger
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,ham,got got colour lor one colour quit light n e darker lor actual im done she style hair
"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",ham,whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say ju walk wid littl whileamp promis ill bring back ur smile
Why nothing. Ok anyway give me treat,ham,noth ok anyway give treat
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam,win newest “harri potter order phoenix book repli harri answer question chanc first among reader
Ok...,ham,ok
Correct. So how was work today,ham,correct work today
"Just sent again. Do you scream and moan in bed, princess?",ham,sent scream moan bed princess
"I wake up long ago already... Dunno, what other thing?",ham,wake long ago alreadi dunno thing
Oh just getting even with u.... u?,ham,oh get even u u
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,ham,thk shd ok said plu minu ü leav line paragraph
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,ham,call plz number show coveragd area urgnt call vasai amp reach clock call plz
Yeah jay's sort of a fucking retard,ham,yeah jay sort fuck retard
"Sorry, was in the bathroom, sup",ham,sorri bathroom sup
Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,spam,ur balanc £ ur next question sang uptown girl answer txt ur answer good luck
My exam is for february 4. Wish you a great day.,ham,exam februari wish great day
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,ham,dont know come ask question like dont mistak
"Aight no rush, I'll ask jay",ham,aight rush ill ask jay
Good Morning plz call me sir,ham,good morn plz call sir
It's ok lar. U sleep early too... Nite...,ham,ok lar u sleep earli nite
"Oh... Icic... K lor, den meet other day...",ham,oh icic k lor den meet day
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grin
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",ham,sometim put wall around heartsnot safe get hurt find care enough break wall amp get closer goodnoon
"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",ham,sweet may may go u meet carlo gaug patti interest
Then she buying today? Ü no need to c meh...,ham,buy today ü need c meh
Aight sorry I take ten years to shower. What's the plan?,ham,aight sorri take ten year shower what plan
Every monday..nxt week vl be completing..,ham,everi mondaynxt week vl complet
Might ax well im there.,ham,might ax well im
Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,ham,chill anoth hr could sleep pain surgic emerg see unfold okay
Yeah I'll try to scrounge something up,ham,yeah ill tri scroung someth
Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,ham,crazi ar he marri ü like gd look guy fren like say he korean leona fave dun thk aft think mayb prob ill go
Were somewhere on Fredericksburg,ham,somewher fredericksburg
Que pases un buen tiempo or something like that,ham,que pase un buen tiempo someth like
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,ham,ok stay night xavier sleep bag im get tire
She doesnt need any test.,ham,doesnt need test
"Nothing much, chillin at home. Any super bowl plan?",ham,noth much chillin home super bowl plan
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",spam,freeday sexi st georg day pic jordantxt pic dont miss everi wk sauci celeb pic c pocketbabecouk £wk
Bugis oso near wat... ,ham,bugi oso near wat
Yo theres no class tmrw right?,ham,yo there class tmrw right
Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,ham,let ur heart ur compass ur mind ur map ur soul ur guid u never loos worldgnun sent via waysmscom
"Goodnight, sleep well da please take care pa. Please.",ham,goodnight sleep well da pleas take care pa pleas
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,ham,baaaaab misss youuuuu go teach class
Convey my regards to him,ham,convey regard
U ned to convince him tht its not possible witot hurting his feeling its the main,ham,u ned convinc tht possibl witot hurt feel main
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",ham,good afternoon loverboy goe day luck come way think sweeti send love across sea make smile happi
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,ham,start send blackberri torch nigeria find buyer melik month tell dad buy bb anyon oh
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",ham,ltgt pple marri lover becz hav gud undrstndng dat avoid problem sent di u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send ltgt frnd ltgt min whn u read
Yo dude guess who just got arrested the other day,ham,yo dude guess got arrest day
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham,shuhui say chang suntec steamboat u noe r u
What does the dance river do?,ham,danc river
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",ham,yetund im sorri moji seem busi abl go shop pleas find way get want us get pleas forgiv repli free via yahoo messeng
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,ham,hey realli pretti late want go lesson first join im reach tp mrt
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam,hot live fantasi call p per min ntt ltd po box croydon cr wb k
Bbq this sat at mine from 6ish. Ur welcome 2 come,ham,bbq sat mine ish ur welcom come
"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",ham,dont know thing that wrong everyso often panick start goin bout bein good enough …
Alright. I'm out--have a good night!,ham,alright im outhav good night
Did you try making another butt.,ham,tri make anoth butt
Hope you are feeling great. Pls fill me in. Abiola,ham,hope feel great pl fill abiola
I though we shd go out n have some fun so bar in town or something – sound ok?,ham,though shd go n fun bar town someth – sound ok
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,go write msg put dictionari mode cover screen hand press ltgt gentli remov ur hand interest
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam,bear pic nick tom pete dick fact type tri gay chat photo upload call pmin stop text call
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,new mobil must go txt nokia collect todayfrom £ wwwtcbiz optout gbpmtmsg txtauction
We're finally ready fyi,ham,final readi fyi
Auntie huai juan never pick up her phone,ham,aunti huai juan never pick phone
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd latest offer calloptoutlf
"Ya tel, wats ur problem..",ham,ya tel wat ur problem
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,nokia tone ur mob everi week txt nok st tone free get txtin tell ur friend ptone repli hl info
i dnt wnt to tlk wid u,ham,dnt wnt tlk wid u
"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",ham,spend day wait ideal path appear front us forget path made walk wait goodnight
Its ok my arm is feeling weak cuz i got a shot so we can go another time,ham,ok arm feel weak cuz got shot go anoth time
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,ham,pleas reserv ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei alreadi see netno ticket availablei want book ticket tackl
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",ham,storm msg wen u lift phne u say hello u knw wt real mean hello name girl ye u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moralon get name person bt girlfrnd g n g h
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,ham,that ok pop ask bout someth said youd around tonght wen girl come
All e best 4 ur exam later.,ham,e best ur exam later
Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,ham,hope ur head doesnt hurt much plough way pile iron stay chinki tonight come round like
Oh k.i think most of wi and nz players unsold.,ham,oh ki think wi nz player unsold
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",ham,haha got fast lose weight thk muz go month den got effect geelat go aust put bk e weight
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",ham,wonder got onlin love gone net cafe get phone recharg friend net think boytoy
"Haha just kidding, papa needs drugs",ham,haha kid papa need drug
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham,thk shld b ya wana go lesson haha go one whole stretch
Oh ok..,ham,oh ok
R we still meeting 4 dinner tonight?,ham,r still meet dinner tonight
Thats cool! I am a gentleman and will treat you with dignity and respect.,ham,that cool gentleman treat digniti respect
Shall i start from hear.,ham,shall start hear
Then we wait 4 u lor... No need 2 feel bad lar...,ham,wait u lor need feel bad lar
No did you check? I got his detailed message now,ham,check got detail messag
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,regist sinco paye log icicibankcom enter urn ltgt confirm bewar fraud share disclos urn anyon
"No, I decided that only people who care about stuff vote and caring about stuff is for losers",ham,decid peopl care stuff vote care stuff loser
Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,ham,kaiez enjoy ur tuition gee thk e second option sound beta ill go yan jiu den msg u
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,regist sinco paye log icicibankcom enter urn ltgt confirm bewar fraud share disclos urn anyon
cool. We will have fun practicing making babies!,ham,cool fun practic make babi
Actually getting ready to leave the house.,ham,actual get readi leav hous
K..k..any special today?,ham,kkani special today
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",spam,urgent import inform user today lucki day find log onto httpwwwurawinnercom fantast surpris await
Then we gotta do it after that,ham,gotta
"I've got ten bucks, jay is being noncomittal",ham,ive got ten buck jay noncomitt
Where at were hungry too,ham,hungri
Pls speak to that customer machan.,ham,pl speak custom machan
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,ham,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,spam,dear uve invit xchat final attempt contact u txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yr
So wats ur opinion abt him and how abt is character?,ham,wat ur opinion abt abt charact
Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham,jay snicker tell x total fuck chord speak
No..few hours before.went to hair cut .,ham,nofew hour beforew hair cut
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,ham,wonder co dun rem see silver car thk saw black one
Lmao. Take a pic and send it to me.,ham,lmao take pic send
Speak only when you feel your words are better than the silence... Gud mrng:-),ham,speak feel word better silenc gud mrng
No. She's currently in scotland for that.,ham,she current scotland
Do you work all this week ?,ham,work week
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,spam,congratul ur award either £ cd gift voucher free entri £ weekli draw txt music tnc wwwldewcom winppmxag
Lol great now im getting hungry.,ham,lol great im get hungri
Yes.. now only saw your message..,ham,ye saw messag
I'll be at mu in like  &lt;#&gt;  seconds,ham,ill mu like ltgt second
Ok...,ham,ok
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,ham,thing r good thanx got exam march ive done revis fran still boyf ive gotta interviw exet bit worriedx
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",ham,tell make littl spreadsheet track whose idea smoke determin smoke much entir month februari ill come
For sale - arsenal dartboard. Good condition but no doubles or trebles!,spam,sale arsen dartboard good condit doubl trebl
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham,dont look back build coat dont want get sick hurri home wear coat gym
"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",ham,pain person thought alway tri keep everybodi happi time nobodi recognis alon
Thanks for ve lovely wisheds. You rock,ham,thank love wish rock
You intrepid duo you! Have a great time and see you both soon. ,ham,intrepid duo great time see soon
I asked sen to come chennai and search for job.,ham,ask sen come chennai search job
Dad went out oredi... ,ham,dad went oredi
"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",ham,ju hope true missin co im realli missin havent done anyth feel guilti yet
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham,wat late still earli mah juz go dinner lor aiya dunno
"Arms fine, how's Cardiff and uni? ",ham,arm fine how cardiff uni
In fact when do you leave? I think addie goes back to school tues or wed,ham,fact leav think addi goe back school tue wed
"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)",ham,cool breez bright sun fresh flower twitter bird wait wish u goodmorn amp nice day
Ya:)going for restaurant..,ham,yago restaur
"Its ok., i just askd did u knw tht no?",ham,ok askd u knw tht
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,free st week entri textpod chanc win gb ipod £ cash everi wk txt pod tsc wwwtextpodnet custcar
Those ducking chinchillas,ham,duck chinchilla
I am in a marriage function,ham,marriag function
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,look like u wil b get headstart im leav bout ish u r desper compani could head earlierw goin meet rummer
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham,don‘t give fli monkey wot think certainli don‘t mind friend mine
As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,regist optin subscrib ur draw £ gift voucher enter receipt correct an what bbc chart
say thanks2. ,ham,say thank
Msg me when rajini comes.,ham,msg rajini come
Ya! when are ü taking ure practical lessons? I start in june..  ,ham,ya ü take ure practic lesson start june
"That's good, because I need drugs",ham,that good need drug
Stupid.its not possible,ham,stupidit possibl
Can ü all decide faster cos my sis going home liao..,ham,ü decid faster co si go home liao
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,summer final fanci chat flirt sexi singl yr area get match repli summer free join optout txt stop help
U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham,u sleep go take haha got spi wat onlin check n repli mail lor
CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,spam,clair havin borin time alon u wanna cum nite chat hope c u luv clair xx calls£minmoremobsemspoboxpowa
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam,bought one rington get text cost pound offer tone etc
"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",ham,yalru lyfu astn chikku bt innu mundh lyf ali halla ke bilo marriageprogram edha lyf nt yet ovr chikkuali vargu lyfu meow meowd
Kinda. First one gets in at twelve! Aah. Speak tomo,ham,kinda first one get twelv aah speak tomo
"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam,urgent mobil xxxxxxxxx £ bonu caller prize nd attempt reach call asap
Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,ham,ok good later come find ü c lucki told ü go earlier later pple take finish ü
Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,ham,wat make u thk ill fall actual thk im quit prone fall lucki dad home ask come n fetch alreadi
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam,guarante latest nokia phone gb ipod mp player £ prize txt wordcollect tcllc nyusa pmt msgrcvd
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
I wont touch you with out your permission.,ham,wont touch permiss
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,spam,hi luci hubbi meetin day fri b alon hotel u fanci cumin pl leav msg day luci x calls£minmobsmorelkpoboxhpfl
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,wonder world th th ur style th ur smile th ur person rd ur natur nd ur sm st ur love friendship good morn dear
Take some small dose tablet for fever,ham,take small dose tablet fever
Oh. U must have taken your REAL Valentine out shopping first.,ham,oh u must taken real valentin shop first
"Just sent you an email – to an address with incomm in it, is that right?",ham,sent email – address incomm right
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham,gonna blake night might abl get littl earli
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,friendship game play word say doesnt start march end may tomorrow yesterday today e
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",ham,nice waitshould text right im gonna pay ticket ya know
I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,ham,im watch lotr w si di aft u wan meet dinner nite
Why you keeping me away like this,ham,keep away like
I think its far more than that but find out. Check google maps for a place from your dorm.,ham,think far find check googl map place dorm
My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham,trip ok quit tire lor uni start today ok co im take modul ju concentr final yr project
Have you always been saying welp?,ham,alway say welp
"I'm a guy, browsin is compulsory",ham,im guy browsin compulsori
Ok...,ham,ok
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham,puriti friendship two smile read forward messageit smile see name gud evng musthu
"Sorry, I'll call later",ham,sorri ill call later
"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",ham,add dont realli care cant least get dude fuck hey money want
"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",ham,hello lover goe new job happi think wake slave send teas kiss across sea
I told your number to gautham..,ham,told number gautham
Tell them no need to investigate about me anywhere.,ham,tell need investig anywher
Ok i juz receive..,ham,ok juz receiv
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",ham,cant believ said mani thing morn realli want say good morn love beauti morn see librari later
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam,account credit free text messag activ txt word credit tc wwwbiz
In the end she might still vomit but its okay. Not everything will come out.,ham,end might still vomit okay everyth come
How are you with moneY...as in to you...money aint a thing....how are you sha!,ham,moneya youmoney aint thinghow sha
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham,everyth weather keep extra warm cold noth seriou pl lot vitamin c
Hey gals.. Anyone of u going down to e driving centre tmr?,ham,hey gal anyon u go e drive centr tmr
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,ham,im alway yahoo messeng send messag ill get may send mobil mode sha ill get repli
I'm putting it on now. It should be ready for  &lt;TIME&gt; ,ham,im put readi lttimegt
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",ham,time n smile r two crucial thing life sometim time make us forget smile sometim someon smile make us forget time gud noon
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,sm ac jsco energi high u may know channel day ur leadership skill r strong psychic repli an wquestion end repli end jsco
Host-based IDPS for linux systems.,ham,hostbas idp linux system
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,hot live fantasi call p per min ntt ltd po box croydon cr wb nation rate call
Don no da:)whats you plan?,ham,dawhat plan
Ill be there on  &lt;#&gt;  ok.,ham,ill ltgt ok
Oh my God. I'm almost home,ham,oh god im almost home
Total video converter free download type this in google search:),ham,total video convert free download type googl search
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,thank vote sing along star karaok mobil free link repli sing
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
Sounds like something that someone testing me would sayy,ham,sound like someth someon test would sayi
